Tiếng Anh,Tiếng Việt
Grim Galette,Bánh Dẹt Hung Tợn
Thulecite Medallion,Huy chương Thulecite
Morning Star,Gậy Sao Mai
Dark Sword,Gươm bóng đêm
Nitre,Ni tơ
Nitre Formation,Ni Tơ Kết Tinh
Nothing,Không có gì
Grit Duster,Máy Thổi Bụi
Grit Grinder,Máy Nghiền Muối
Premier Gardeneer Hat,Mũ Thực Vật Học
Oar,Mái Chèo
Driftwood Oar,Chèo Gỗ Mục
Battle Paddle,Chèo Chiến
Lake,Hồ
Ocean Debris,Bùn Biển
Wooden Ball Bobber,Phao Cầu Gỗ
Saffron Quill Float,Phao Lông Vàng
Jet Quill Float,Phao Lông Quạ
Down Quill Float,Phao Lông Măng
Malbatross Quill Float,Phao Malbatross
Fish Hook,Lưỡi câu
Hardened Slip Bobber,Phao Vỏ Cứng
Crimson Quill Float,Phao Lông Đỏ
Azure Quill Float,Phao Lông Xanh
Stupefying Lure,Mồi Mê Dại
Heavy Weighted Lure,Mồi Hạng Nặng
Rainy Day Lure,Mồi Ngày Mưa
Snow Day Lure,Mồi Ngày Tuyết
Nightflyer Spinnerbait,Thìa Xoay Lam
Dusky Spinnerbait,Thìa Xoay Lục
not used,không được sử dụng
Sunrise Spinnerbait,Thìa Xoay Đỏ
Nightflyer Spoon,Thìa Trượt Lam
Dusky Spoon,Thìa Trượt Lục
Sunrise Spoon,Thìa Trượt Đỏ
Sea Fishing Rod,Cần câu biển
Antchovy,Antchovy
Mudfish,Cá Bùn
Deep Bass,Cá Vược
Dandy Lionfish,Cá Sư Tử
Black Catfish,Cá Trê Đen
Corn Cod,Cá Thu
Dappled Koi,Cá Chép Koi
Golden Koi,Cá Chép Koi Vàng
Ice Bream,Cá Vền Băng
Sweetish Fish,Cá Ngòn Ngọt
Runty Guppy,Cá Bảy Màu
Needlenosed Squirt,Cá Mũi Kim
Bitty Baitfish,Cá Basa
Smolt Fry,Cá Hồi Con
Popperfish,Cá Bỏng
Fallounder,Cá Lưỡi Ngựa
Bloomfin Tuna,Cá Ngừ Nở Vây
Scorching Sunfish,Cá Mặt Trời
Spittlefish,Cá Nước Bọt
Terrorclaw,Càng Kinh Hãi
Knobbly Tree,Cây sần sùi
Knobbly Tree Nut,Hạt Cây Sần Sùi
Above-Average Tree Trunk,Thân Cây Cao Niên
Mossy Vine,Dây Rêu Leo
Sea Strider Nest,Tổ Nhện Gọng Vó Biển
Giant Whirlpool,Xoáy Nước Khổng Lồ
Ocean Detritus,Rác Thải Đại Dương
Whirlportal,Xoáy Nước
Ocean Trawler,Lưới Bẫy Cá
Ocean Trawler Kit,Bộ Lưới Bẫy Cá
Communal Kelp Dish,Đĩa tảo bẹ ăn chung
Superior Communal Kelp Dish,Đĩa tảo bẹ ăn chung siêu cấp
the passage of time,Sự trôi chảy của thời gian
One-man Band,Người Hát Rong
Onion,Hành
Roasted Onion,Hành Tây Nướng
Giant Onion,Hành Tây Khổng Lồ
Giant Rotting Onion,Hành Tây Khổng Lồ Thối Rữa
Pointy Seeds,Hạt Hành Tây
Iridescent Gem,Đá Quý Ánh Kim
Moon Caller's Staff,Gậy Gọi Trăng
The Lazy Forager,Bùa Lười Biếng
Orange Gem,Ngọc Cam
Orange Moonlens,Thấu Kính Mặt Trăng Cam
The Lazy Explorer,Gậy Biếng
Marotter,Rái Cắp
Marotter Den,Hang Rái Cắp
Demolished Marotter Den,Hang Rái Cắp Bị Phá Hủy
Palmcone Tree,Cây Cọ Chóp
Palmcone Sapling,Cây Cọ Chóp Con
Palmcone Scale,Vỏ Cọ Chóp
Palmcone Sprout,Mầm Cọ Chóp
Ornate Chest,Hòm văn hoa
Panettone,Bánh Mỳ Ý
Pan Flute,Sáo
Papyrus,Giấy
Pavlova,Bánh Kem Xốp
Scorpeon,Bọ Cạp Binh
Scorpeon Acid,Axit bọ cạp
Pengull,Chim cánh cụt
Pepper,Ớt
Stuffed Pepper Poppers,Ớt Nhồi Thịt
Roasted Pepper,Ớt Xào
Giant Pepper,Ớt Chuông Khổng Lồ
Giant Rotting Pepper,Ớt Chuông Khổng Lồ Thối Rữa
Lumpy Seeds,Hạt Ớt
Gobbler,Gà tây
Lucky Fan,Quạt may mắn
Gobbler Shrine,Miếu Thờ Gà
Pierogi,Sủi Cảo
Petals,Cánh hoa
Dried Petals,Cánh hoa khô
Dark Petals,Cánh hoa quỷ
Dried Dark Petals,Cánh hoa đen khô
Phlegm,Đờm
Gramophone,Máy Hát
Pickaxe,Cuốc chim
Brightshade Smasher,Búa Quang Luyện
Pickled Herring,Cá Trích Muối
Wade,Wade
Ignatius,Ignatius
Dmitri,Dmitri
Sawyer,Sawyer
Guard Pig,Lính Lợn
Piggyback,Balô lợn
Pig Head,Đầu Lợn
Pig House,Nhà Lợn
Pig King,Vua Lợn
Pig Man,Người Lợn
Pig Shrine,Miếu Thờ Lợn
Pig Skin,Da lợn
Pig Torch,Đuốc lợn
Clout Snout,Xu Lợn
Golden Belt,Đai Lưng Vàng
Pine Cone,Quả thông
Evergreen Sapling,Cây thông con
Moon Quay Pirate Banner,Cờ Khỉ
X,X
Pitchfork,Chĩa
Leafy Meat,Thịt Lá
Cooked Leafy Meat,Thịt Lá Chín
Gardeneer Hat,Mũ Làm Vườn
Wild Crop,Cây dại
The Enchanted Doll\nA Stage Play,Con búp bê bị phù phép\nVở kịch trên sân khấu
My Knights Four and I\nA Stage Play,Bốn Hiệp Sĩ Của Tôi và Tôi\nMột vở kịch sân khấu
A Task Complete\nA Confession,Một nhiệm vụ đã hoàn thành\nMột lời thú tội
The Pall\nA Stage Play,Vở kịch sân khấu Pall\nA
Inthralled Corpse,Xác chết bị mê hoặc
Deadelgänger,Deadelgänger
Playing Card,Chơi bài
Clockmaker's Tools,Dụng Cụ Thợ Đồng Hồ
Ageless Watch,Đồng Hồ Trường Sinh
Time Pieces,Mảnh Lắp Đồng Hồ
Rift Watch,Đồng Hồ Nứt Gãy
Time Rift,Khe nứt thời gian
Backtrek Watch,Đồng Hồ Du Hành
Second Chance Watch,Đồng Hồ Luân Hồi
Backstep Watch,Đồng Hồ Hồi Quy
Alarming Clock,Đồng Hồ Thức Tỉnh
Pocket Scale,Cân Bỏ Túi
Polish Cookies,Bánh Quy Ba Lan
Polly Roger,Chim Hải Tặc
Polly Roger's Hat,Nón Vua Hải Tặc
Pomegranate,Lựu
Sliced Pomegranate,Lựu cắt lát
Giant Pomegranate,Lựu Khổng Lồ
Giant Rotting Pomegranate,Lựu Khổng Lồ Thối Rữa
Windblown Seeds,Hạt Lựu
Pond,Ao
Live Eel,Lươn Sống
Freshwater Fish,Cá Nước Ngọt
Algae,Tảo
Manure,Phân bón
Portable Grinding Mill,Máy nghiền di động
Portable Grinding Mill,Máy Nghiền Di Động
Portable Crock Pot,Nồi Hầm Di Động
Portable Campfire,Bếp Lửa Di Động
Portable Seasoning Station,Trạm gia vị di động
Portable Seasoning Station,Trạm Gia Vị Di Động
Camper's Tent,Lều Trại
Tent Roll,Lều Cuộn
Potato,Khoai tây
Potato Sack,Bịch Khoai Tây
Puffed Potato Soufflé,Bánh Phồng Khoai Tây
Fancy Spiralled Tubers,Khoai Tây Xiên
Roasted Potato,Khoai Tây Nướng
Giant Potato,Khoai Tây Khổng Lồ
Giant Rotting Potato,Khoai Tây Khổng Lồ Thối Rữa
Fluffy Seeds,Hạt Khoai Tây
Potted Fern,Chậu dương xỉ
Powdercake,Bánh Bột
Powder Monkey,Thần Dân Khỉ
Empty Waterfowl Can,Bình Mỏ Chim đã cạn
Waterfowl Can,Bình Mỏ Chim
Prime Mate,Thuyền Trưởng Khỉ
Puffin,Hải Âu Cổ Rụt
Pumpkin,Bí ngô
Pumpkin Scooper,Muỗng xúc bí ngô
Pumpkin Knife,Dao cắt bí ngô
Pumpkin Saw,Cưa bí ngô
Pumpkin Cookies,Bánh Quy Bí Ngô
Faceless Pumpkin,Bí ngô không mặt
Pumpkin Head,đầu bí ngô
Pumpkin Pie,Bánh Bí Ngô
Hot Pumpkin,Bí ngô nóng
Pumpkin Lantern,Đèn bí ngô
Giant Pumpkin,Bí Ngô Khổng Lồ
Giant Rotting Pumpkin,Bí Ngô Khổng Lồ Thối Rữa
Sharp Seeds,Hạt Bí Ngô
Punching Bag,Bao Đấm Bốc
Bright Boxer,Tay Đấm Ánh Sáng
Shadow Boxer,Tay Đấm Bóng Đêm
Pure Brilliance,Quang Thạch Tinh Khiết
Nightmare Amulet,Bùa Ác Mộng
Purple Gem,Ngọc Tím
Purple Moonlens,Thấu Kính Mặt Trăng Tím
The Altar of Gnaw,Bệ Thờ Của Gnaw
Post,Cột
Ivy,Ivy
Queen Beast,Nữ Hoàng Quái Thú
Beast of Hunger,Quái Thú Háu Đói
Old Beefalo,Bò Già
Silver Bowl,Bát Bạc
Large Casserole Dish,Nồi Nướng Lớn
Small Casserole Dish,Nồi Nướng Nhỏ
Old Coin,Xu Cổ
Sapphire Medallion,Đồng Sapphire
Red Mark,Đồng Rubi
Gnaw's Favor,Đặc Ân Gnaw
Cooked Meat Scraps,Thịt Vụn nướng
Crab Meat,Thịt cua
Cooked Crab Meat,Thịt cua chín
Crab Trap,Bẫy cua
Large Grill Kit,Bộ Giá Nướng Lớn
Grill Kit,Bộ Giá Nướng
Oven Kit,Bộ Lò Nướng
Cookpot Kit,Bộ Nồi Hầm
Flour,Bột Mì
Cooked Foliage,Lá nấu chín
Loaf of Bread,Ổ bánh mì
Potato Chips,Khoai tây chiên
Vegetable Soup,Súp rau
Jelly Sandwich,Thạch Sandwich
Fish Stew,Cá hầm
Turnip Cake,Bánh củ cải
Potato Pancakes,Bánh khoai tây
Potato Soup,Súp khoai tây
Fishball Skewers,Xiên bóng cá
Meat Skewers,Xiên thịt
Stone Soup,Mầm đá
Croquette,Croquette
Roast Vegetables,Roast Vegetables
Meatloaf,Bánh mì thịt lá
Carrot Soup,Súp cà rốt
Fish Pie,Fish Pie
Fish and Chips,Cá và khoai tây chiên
Meat Pie,Meat Pie
Sliders,Burger mini
Jelly Roll,Jelly Roll
Carrot Cake,Carrot Cake
Garlic Mashed Potatoes,Khoai tây nghiền tỏi
Garlic Bread,Bánh mì bơ tỏi
Tomato Soup,Súp cà chua
Sausage,Lạp xưởng
Candied Fish,Cá Candied
Stuffed Mushroom,Stuffed Mushroom
Ratatouille,Nộm rau
Bruschetta,Bruschetta
Meat Stew,Thịt hầm thịt
Hamburger,bánh hamburger
Fish Burger,Cá burger
Mushroom Burger,Bánh burger nấm
Curry,Cà ri
Spaghetti and Meatball,Spaghetti and Meatball
Lasagna,Mì nướng kiểu Ý
Poached Fish,Cá luộc
Shepherd's Pie,Bánh của người chăn cừu
Candy,Cục kẹo
Bread Pudding,Bánh mì bánh mì
Waffles,Bánh quế
Berry Tart,Berry Tart
Macaroni and Cheese,Macaroni và phô mai
Bagel and Fish,Bagel và cá
Grilled Cheese,Grilled Cheese
Cream of Mushroom Soup,Kem Súp nấm
Manicotti,Manicotti
Cheeseburger,Cheeseburger
Creamy Fettuccine,Fettuccine kem
Onion Soup,Súp hành
Breaded Cutlet,Cắt tẩm bột
Creamy Fish,Cá kem
Pizza,Pizza
Pot Roast,Pot Roast
Crab Cake,Crab Cake
Steak Frites,Steak Frites
Shooter Sandwich,Bánh sandwich bắn súng
Bacon Wrapped Meat,Thịt xông khói bọc thịt
Crab Roll,Crab Roll
Meat Wellington,Thịt Wellington
Crab Ravioli,Cua ravioli
Caramel Cube,Caramel khối lập phương
Scone,Bánh nướng
Trifle,Trifle
Cheesecake,Cheesecake
Bowl,Cái bát
Burnt Food,Thức ăn cháy
Plate,Đĩa
Roast Garlic,Tỏi nướng
Billy,Billy
Goat Milk,Sữa dê
Mumsy,Mumsy
Large Grill,Vỉ nướng lớn
Small Grill,Vỉ nướng nhỏ
Hoe,Cuốc
Key,Chìa khóa
Iron Key,Chìa khóa sắt
Streetlight,Đèn đường
Small Streetlight,Đèn đường nhỏ
Mealing Stone,Xử lý đá
Bog Merm,Ngư dân Bãi lầy
Rundown House,Nhà người cá
Sammy's Wagon,Sammy's Wagon
Pipton's Cart,Giỏ hàng của Pipton
Mushroom,Nấm
Cooked Mushroom,Nấm chín
Roast Onion,Hành tây nướng
Oven,Lò nướng
Iron Fence,Hàng rào sắt
Gnaw Worshipper,Gnaw Worshipper
Fountain,Đài phun nước
Iron Gate,Cổng săt
Locked Iron Gate,Cổng sắt bị khóa
Stone Pillar,Cột Đá
Urn,Bình Di Cốt
Pebble Crab,Cua Cuội
Pigeon,Pigeon
Silver Plate,Đĩa bạc
Salt Pond,Ao muối
Large Cookpot,Nồi lớn
Roast Potato,Khoai tây chiên
Pot Hanger,Giá treo nồi
Cookpot,Nồi nấu
Syrup Pot,Nồi đựng xi-rô
Rotten Crop,Cây trồng thối rữa
Wrecked Bicycle,Xe đạp hỏng
Broken Carriage,Xe ngựa bị hỏng
Dilapidated Cathedral,Nhà thờ đổ nát
Dilapidated Chimney,Ống khói đổ nát
Smashed Clock,Đồng hồ nát vụn
Dilapidated Clocktower,Tháp đồng hồ bị đổ nát
Dilapidated House,Ngôi nhà đổ nát
Dilapidated Door,Cánh cửa đổ nát
Dilapidated Roof,Mái nhà đổ nát
Safe,Két Sắt
Locked Safe,Két Sắt bị khóa
Salmon,Cá Hồi
Cooked Salmon,Cá Hồi Chín
Salt,Muối
Salted {food},{food} đã nêm muối
Salt Crystals,Tinh Thể Muối
Salty {food},{food} Mặn
Salt Rack,Giá muối
Sap,Nhựa cây
Tree Tapping Kit,Bộ thu nhựa cây
Ruined Sap,Nhựa cây bị hỏng
Packet of Blue Seeds,Gói Hạt Lúa
Packet of Fluffy Seeds,Gói Hạt Khoai Tây
Packet of Spiky Seeds,Gói Hạt Tỏi
Packet of Pointy Seeds,Gói Hạt Hành Tây
Packet of Round Seeds,Gói Hạt Củ Cải
Packet of Oblong Seeds,Gói Hạt Cà Rốt
Packet of Seed Pods,Gói Hạt Cà Chua
Packet of Mixed Seeds,Gói Hạt hỗn hợp
Blue Seeds,Hạt Lúa
Spiky Seeds,Hạt Tỏi
Round Seeds,Hạt Củ Cải
Slaughter Tools,Dụng cụ giết mổ
Meat Scraps,Thịt Cua
Spot Spice,Gia Vị
Spotty Shrub,Bụi Đốm
Spotty Sprig,Nhành Lá Đốm
Sugarwood Tree,Cây Gỗ Ngọt
Swamp Pig Elder,Swamp Pig Elder
Worn Pig House,Nhà lợn xuống cấp
House Rubble,Nhà đổ nát
Syrup,Xi -rô
Toma Root,Cà Chua
Roast Toma Root,Cà chua nướng
Sammy\nThe Lucid Bog Merm,Sammy\nNgười cá đầm lầy sáng suốt
Pipton\nThe Cognizant Bog Merm,Pipton\nNgười Cá Thông Minh
Turnip,Củ Cải Tím
Roast Turnip,Rang củ cải
Wheat,Lúa mì
Rabbit,Thỏ
Warren Wreath,Vòng Hoa Hang Thỏ
Rabbit Hole,Hang thỏ
Rabbit Hutch,Chòi Thỏ
Burrowing Horn,Sừng Đào Hang
Portable Den,Hang Di Động
Royal Rabbit Enforcer,Vệ Binh Hoàng Gia Thỏ
Rabbit King Cudgel,Chùy Vua Thỏ
Wrathful Rabbit King,Vua Thỏ Phẫn Nộ
Fortuitous Rabbit,Thỏ May Mắn
Benevolent Rabbit King,Vua Thỏ Nhân Từ
Short Circuit,Chập mạch
Rain Coat,Áo mưa
Rain Hat,Mũ Mưa
Rainometer,Vũ Kế
Razor,Dao cạo
Record,Đĩa Hát
Creepy Forest,Rừng rùng rợn
D.R. Style,D.R. Phong cách
E.F.S.,E.F.S.
Hallowed Night,Đêm Thánh
Red Gem,Ngọc Đỏ
Red Lantern,Đèn Lồng May Mắn
Red Moonlens,Thấu Kính Mặt Trăng Đỏ
Red Pouch,Túi May Mắn
Red Cap,Nấm Đỏ
Cooked Red Cap,Nấm Đỏ chín
Red Mushroom,Cây nấm Đỏ
Red Funcap,Mũ Nấm Ngộ Nghĩnh Đỏ
Reeds,Cây sậy
Collected Dust,Bụi Viên
Summer Frest,Vest Mùa Hè
Relic,Thánh tích
Science Machine,Máy Khoa Học
Alchemy Engine,Máy giả kim
Shadow Manipulator,Tay Máy Bóng Tối
Prestihatitator,Máy mũ ảo thuật
Clean Sweeper,Gậy Tẩy Trang
Meat Effigy,Bù Nhìn Thịt
Touch Stone,Đá thần
Resurrection Sickness,Ốm hồi sinh
Telltale Heart,Tim Mách Lẻo
Rhinocebro Snapback,Rhinocebro Snapback
Rhinocebro Flatbrim,Rhinocebro Flatbrim
Roasted Turkey,Gà Tây Quay
Redbird,Chim Đỏ
Snowbird,Chim Tuyết
Ironclad Costume Pattern,Bản Vẽ Bộ Bọc Thép
Rocks,Cục đá
Rock Lobster,Tôm hùm đá
Stone Fruit,Trái Cây Đá
Ripe Stone Fruit,Trái Cây Đá Chín
Cooked Stone Fruit,Trái Cây Đá Nướng
Sprouting Stone Fruit,Mầm Trái Cây Đá
Mini Glacier,Tảng băng nhỏ
Melted Mini Glacier,Tảng băng tan
Lava Pit,Hố nham thạch
Suspicious Boulder,Tảng Đá Đáng Ngờ
Petrified Tree,Cây hóa thạch
Clockwork Rook,Quân Xe
Damaged Rook,Quân Xe hỏng
Rope,Dây thừng
Spelunker's Bridge Kit,Bộ Dụng Cụ Cầu Thám Hiểm
Rose-Colored Glasses,Kính Màu Hồng
Rotten Egg,Trứng thối
Royal Jelly,Sữa Ong Chúa
Rubble,Rubble
Thulecite Crown,Vương miện Thulecite
Lurking Nightmare,Ác mộng ẩn dật
Replica Relic Bowl,Máng Thánh Tích
Replica Relic Chair,Ghế Thánh Tích
Replica Relic Dish,Bát Thánh Tích
Replica Relic Plate,Đĩa Thánh Tích
Replica Relic Table,Bàn Thánh Tích
Replica Relic Vase,Bình Thánh Tích
Thulecite Club,Chuỳ Thulecite
Blocky Ruins,Khối Tàn Tích
Broken Relic,Di vật vỡ
Resting Horror,Rùng Rợn Tĩnh Lặng
Ancient Chest,Rương cổ
Saddlehorn,Tra yên cưỡi
Saddle,Yên cưỡi
Glossamer Saddle,Yên Cưỡi Sang Trọng
Nightmare Saddle,Yên Cưỡi Ác Mộng
War Saddle,Yên cưỡi chiến
Battle Saddle,Yên Cưỡi Chiến Đấu
Salsa Fresca,Nước Sốt Tươi
Salt Box,Thùng Muối
Salt Lick,Muối liếm
Gourmet Salt Lick,Tảng muối tinh tế
Salt Formation,Mỏ Muối Biển
Salty Dog,Chó mặn
Salty Dog's Hat,Mũ Thủy Thủ Mặn Mòi
Sand Castle,Lâu Đài Cát
Sand Spike,Cột Cát
Bio Data,Tài Liệu Sinh Học
Friendly Scarecrow,Bù nhìn thân thiện
Crispy Skeleton,Xương cháy khô
Lost Scrapbook Page,Mất trang sổ lưu niệm
{name} Scrapbook Page,{name} trang sổ lưu niệm
Scrappy Chapauldron,Mũ Phế Liệu
Horizon Expandinator,Máy mở rộng chân trời
Potter's Wheel,Bàn thợ gốm
Sculpting Block,Khối điêu khắc
Marble Sculpture,Điêu khắc đá cẩm thạch
Suspicious Marble,Cẩm Thạch Khả Nghi
Sea Cocoon,Kén biển
Think Tank,Thùng Suy Ngẫm
Seafood Gumbo,Súp Mướp Tây Hải Sản
Sea Stack,Núi Đá Biển
Spark Ark,Hòm Thu Tia Sáng
Seed Pack-It,Ba Lô Đựng Hạt
Seeds,Hạt
Toasted Seeds,Hạt nướng
Ocuvigil,Mắt Đá Mặt Trăng
Sewing Kit,Cuộn Kim Khâu
Mannequin,Ma-nơ-canh
Trusty Tape,Băng Vá
Unseen Hand,Bàn Hoa Ác Mộng
Shadow Dancer,Vũ công Bóng đêm
Shadow Digger,Thợ Đào Ảo Ảnh
Shadow Duelist,Kiếm Sĩ Ảo Ảnh
Shadow Hand,Bàn tay bóng tối
Shadow Atrium,Tâm Nhĩ Hắc Ám
Possessed Shadow Atrium,Trái tim ác mộng bị chiếm đoạt
Shadow Logger,Tiều Phu Ảo Ảnh
Shadow Miner,Thợ Mỏ Ảo Ảnh
Shadow Tentacle,Xúc Tua Bóng Đen
Mega Blight,Rệp Vừng Khổng Lồ
Ripple,Rệp Vừng Khổng Lồ
Ink Blight,Quái mực tai ương
Jitters,Hốt hoảng
Rasp,Sự cố
Rictus,Tiếng cười
Void Masque,Mặt nạ Hư vô
Herald of Tenebrau,Sứ giả của Tenebrau
Shriek,Tiếng thét
Shadow,Bóng
Shadow Maul,Chùy Bóng Tối
Beefalo Gloom Bell,Chuông Bò Lai U Ám
Shadow Bishop,Quân tượng ảo ảnh
Shadowcraft Plinth,Giá Chế Tạo Bóng Đêm
Shadowcraft Plinth Kit,Bộ Giá Chế Tạo Bóng Đêm
Shadow Knight,Quân mã ảo ảnh
Parasitic Shadeling,Bóng Ký Sinh
Shadow Rook,Quân xe ảo ảnh
Shallow Grave,Mộ Nông
Rockjaw,Cá Mập Hàm Đá
Frostjaw,Cá Mập Hàm Băng
Ice,Gai Băng
Combriner,Máy Kết Hợp Muối
Shell Cluster,Đùm Vỏ
Shenanigans,Tai Quái
Shield of Terror,Khiên Khiếp Đảm
Shovel,Xẻng
Brightshade Shoevel,Xẻng Quang Luyện
Stuffed Night Cap,Nấm Mặt Trăng Nhồi
Mushy Cake,Bánh Kem Nấm
Shroom Skin,Da Cóc
Siesta Lean-to,Lán nghỉ
Silk,Tơ
Baritone Shell Bell,Vỏ Chuông Baritôn
Alto Shell Bell,Vỏ Chuông Antô
Soprano Shell Bell,Vỏ Chuông Xôpran
Sisturn,Di Cốt Chị Gái
Skeleton,Bộ xương
Bone Helm,Mũ Xương
Skeleton,Bộ Xương
{item} Sketch,Phác thảo {item}
Sketch,Phác thảo
Skullchest,Hòm đầu lâu
Napsack,Bom mê
Trusty Slingshot,Súng Cao Su
Ammo Pouch,Túi Đạn
Dread Pebbles,Đạn Kinh Hoàng
Freeze Rounds,Đạn Đóng Băng
Ickies,Đạn Nhầy
Gold Rounds,Đạn Vàng Viên
Kablooies,Đạn Nổ
Stickies,Đạn Dính
Pure Horror Rounds,Đạn Kinh Dị Thuần Túy
Swarming Horror,Kinh dị tràn ngập
Brightshade Husk Rounds,Đạn Vỏ Gai Sáng Bóng
Marbles,Đạn Cẩm Thạch
Moonshots,Đạn Trăng
Poop Pellets,Đạn Phân Khô
Pure Brilliance Rounds,Đạn Quang Thạch Tinh Khiết
Flash of Brilliance,Ánh chớp rực rỡ
Pebbles,Đạn Đá Cuội
Shockscrap Shots,Đạn Điện Phế Liệu
Slow-Down Rounds,Đạn Làm Chậm
Stinger Zingers,Đạn Ong Chích
Cursed Rounds,Đạn Yểm Bùa
Slingshot Field Kit,Bộ Dụng Cụ Ná Dã Chiến
Possessed Slingshot Band,Dây Ná Bị Ám
Pig Skin Slingshot Band,Dây Ná Da Heo
Flailing Slingshot Band,Dây Ná Vung Vẩy
{name}'s Slingshot,Súng cao su của {name}
Bony Slingshot Frame,Khung xương
Thulecite Slingshot Frame,Khung Thulecite
Scrappier Slingshot Frame,Khung tự chế cải tiến
Scrappy Slingshot Frame,Khung tự chế
Slingshot Jelly Grip,Tay cầm thạch
Slingshot Grip Tape,Băng Quấn Tay Cầm Ná
Slingshot Sticky Grip,Tay Cầm Dính
Slingshot Void Wrap,Vải quấn hư không
Basic Farm,Vườn cơ bản
Slurper,Con Mút
Slurper Pelt,Lông Con Mút
Slurtle,Sên Rùa
Shelmet,Mũ mai rùa
Slurtle Mound,Ổ Sên Rùa
Slurtle Slime,Nhớt Sên Rùa
Broken Shell,Vỏ ốc vỡ
Smallbird,Chim Non
Pipspook,Tiểu Hồn Ma
Morsel,Miếng thịt
Small Jerky,Miếng thịt khô
Crocommander,Chỉ Huy Cá Sấu
Snowball,Quả cầu tuyết
Large Snowball,Quả cầu tuyết lớn
Snowman,Người tuyết
Snurtle,Rùa ốc
Growth Formula Starter,Thuốc Tăng Trưởng
Super Growth Formula,Thuốc Siêu Tăng Trưởng
Fermented Growth Formula,Thuốc Tăng Trưởng Đã Lên Men
Fermenting Growth Formula,Thuốc Tăng Trưởng Đang Lên Men
Ewecus,Cừu Nhầy
Spear,Giáo
Pith Pike,Giáo Tủy
Spiral Spear,Giáo Xoắn
Battle Spear,Giáo chiến
Elding Spear,Giáo Cổ
Charged Elding Spear,Giáo cổ tích điện
Chef Pouch,Túi Đầu Bếp
Chili Flakes,Bột Ớt
Spicy {food},{food} Vị cay
Garlic Powder,Bột Tỏi
Garlic {food},{food} tỏi
Seasoning Salt,Muối Nêm
Honey Crystals,Tinh Thể Mật Ong
Sweet {food},{food} Ngọt
Spider,Nhện
Spider Den,Hang nhện
Den Decorating Set,Bộ Trang Trí Hang
Spider Eggs,Trứng Nhện
Spider Gland,Hạch nhện
Spiderhat,Mũ nhện
Spilagmite,Thạch Nhện
Spider Queen,Nhện Chúa
Dangling Depth Dweller,Nhện Đu Tơ
Nurse Spider,Nhện Cứu Thương
Healing Glop,Nhầy Cứu Thương
Cave Spider,Nhện hang động
Shoo Box,Hộp Xua Đuổi
Spitter,Nhện Phun Bọt
Spider Warrior,Nhện chiến binh
Sea Strider,Nhện Gọng Vó Biển
Webby Whistle,Còi Hú Nhện
Spoiled Fish,Cá Thối
Spoiled Fish Morsel,Miếng Cá Thối
Rot,Đồ thối
Spore Cloud,Đám mây bào tử
Red Spore,Bào Tử Nấm Đỏ
Lunar Spore,Nguyệt Quang Bào Tử
Green Spore,Bào Tử Nấm Lục
Blue Spore,Bào Tử Nấm Xanh
Skittersquid,Mực Ống
Polar Light,Sao Cực Quang
Dwarf Star,Sao Lùn
Brightshade Staff,Trượng Ánh Sáng
Weather Pain,Trượng thời tiết
Stagehand,Bàn Hoa
Prickly Stagehand,Bàn Hoa Sân Khấu
Stalagmite,Thạch nhũ
Reanimated Skeleton,Hài Cốt Tái Sinh
Ancient Fuelweaver,Thượng Cổ Hắc Ám
Woven Shadow,Dệt Bóng Đêm
Pirate Map,Bản Đồ Hải Tặc
Glommer's Statue,Tượng Glommer
Harp Statue,Tượng đàn hạc
Overgrown Statue,Tượng phát triển quá mức
Maxwell Statue,Tượng Maxwell
Steel Wool,Len Thép
Steering Wheel,Bánh Lái
Steering Wheel Kit,Bộ Bánh Lái
Stinger,Gai ong
Stone Chair,Ghế Đá
Stone Stool,Ghế đá
Stone Round Table,Bàn đá tròn
Stone Square Table,Bàn đá vuông
W.O.B.O.T.,W.O.B.O.T.
Straw Hat,Nón Rơm
Stuffed Eggplant,Cà tím nhồi
Stuffing,Bánh Nhồi
Succulent,Lá Mọng Nước
Dried Succulent,Mọng nước khô
Potted Succulent,Chậu Cây Mọng Nước
Sunken Chest,Rương Đắm
Spectackler Box,Hộp Đánh Bắt Đặc Biệt
Support Pillar,Giàn giáo cột trụ
Support Pillar Wreckage,Mảnh vỡ cột trụ
Reinforced Support Pillar,Trụ Đá Gia Cố
Dreadstone Pillar,Trụ đá kinh hoàng
Dreadstone Pillar Wreckage,Trụ đá kinh hoàng đổ ngã
Reinforced Dreadstone Pillar,Trụ Đá Kinh Hoàng Gia Cố
Dreadstone Pillar Scaffold,Giàn giáo Trụ Đá Kinh Hoàng
Pillar Scaffold,Giàn giáo trụ đá
Surf 'n' Turf,Surf 'n' Turf
Dapper Vest,Vest bảnh bao
Sweet Potato Casserole,Khoai Lang Áp Chảo
Soothing Tea,Trà Dịu
Brightshade Sword,Kiếm Ánh Sáng
Winter's Feast Table,Bàn Lễ Hội
Tackle Box,Hộp Đánh Bắt
{item} Advert,Phiếu Mẫu {item}
Advert,Quảng bá
Tackle Receptacle,Thùng Dụng Cụ
Taffy,Kẹo Bơ Cứng
Tallbird,Chim Cao
Tallbird Egg,Trứng chim Cao
Fried Tallbird Egg,Trứng chim Cao rán
Hatching Tallbird Egg,Trứng chim Cao đang nở
Tallbird Nest,Tổ chim Cao
